i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,94,280.25,280.25,3254.7,331.03125,180.5,183.125,5823.5,100,0,14.0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,1
0,95,282.15,282.15,3263.2499999999995,332.11875,180.5,179.875,5878.599999999999,100,0,13.0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,1
0,96,284.05,284.05,3271.7999999999997,333.20625,180.5,176.625,5925.15,100,0,12.0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,1
0,97,285.95,285.95,3280.35,334.29375,180.5,173.375,5970.75,100,0,11.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,1
0,98,287.85,287.85,3288.8999999999996,335.5375,180.5,170.125,6015.4,100,0,10.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,1
0,99,289.75,289.75,3297.45,337.0625,180.5,166.875,6059.099999999999,100,0,9.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,1
0,100,291.65,291.65,3305.9999999999995,338.5875,180.5,163.75,6101.849999999999,100,0,8.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,1
1,0,291.65,291.65,1609.0047297297297,216.21503378378378,0.0,115.57770270270268,5190.530405405403,1.527027027027027,15.27027027027027,13.743243243243244,3.054054054054054,1.527027027027027,6.108108108108108,9.162162162162161,3.054054054054054,0.0,1.527027027027027,12.216216216216216,3.054054054054054,13.743243243243244,10.68918918918919,4.581081081081081,13.743243243243244,4
1,1,204.00608108108108,204.00608108108108,1929.9378378378378,227.85236486486485,0.0,101.97297297297297,5294.902027027026,0.527027027027027,14.27027027027027,28.743243243243242,2.054054054054054,0.527027027027027,5.108108108108108,8.162162162162161,2.054054054054054,0,0.527027027027027,11.216216216216216,2.054054054054054,12.743243243243244,9.68918918918919,3.5810810810810807,12.743243243243244,3
1,2,209.5648648648649,209.5648648648649,2284.7756756756753,237.4390202702703,0.0,89.26858108108107,5189.220945945946,0,29.27027027027027,27.743243243243242,1.054054054054054,0,4.108108108108108,7.162162162162161,1.054054054054054,0,0,10.216216216216216,1.054054054054054,11.743243243243244,8.68918918918919,2.5810810810810807,11.743243243243244,2
1,3,204.81486486486486,204.81486486486486,2664.3905405405403,232.89467905405405,0.0,90.64358108108107,5019.081081081082,15.0,28.27027027027027,26.743243243243242,0.054054054054053946,0,3.108108108108108,6.162162162162161,0.054054054054053946,0,0,9.216216216216216,0.054054054054053946,10.743243243243244,7.6891891891891895,1.5810810810810807,10.743243243243244,1
1,4,206.8689189189189,206.8689189189189,2737.822972972973,238.7413851351351,0.0,89.21114864864865,4931.116216216217,30.0,27.27027027027027,25.743243243243242,0,0,2.108108108108108,5.162162162162161,0,0,0,8.216216216216216,0,9.743243243243244,6.6891891891891895,0.5810810810810807,9.743243243243244,1
1,5,213.12094594594592,213.12094594594592,2809.7533783783783,249.2966216216216,0.0,102.67567567567566,4972.18445945946,45.0,26.27027027027027,24.743243243243242,0,0,1.108108108108108,4.162162162162161,0,0,0,7.216216216216216,0,8.743243243243244,5.6891891891891895,0,8.743243243243244,1
1,6,218.82094594594597,218.82094594594597,2873.4033783783784,260.3268581081081,0.0,118.3277027027027,5023.150675675677,60.0,25.27027027027027,23.743243243243242,0,0,0.10810810810810789,3.1621621621621614,0,0,0,6.216216216216216,0,7.743243243243244,4.6891891891891895,0,7.743243243243244,1
1,7,223.67364864864865,223.67364864864865,2932.2135135135136,270.9396959459459,0.0,137.06418918918916,5132.066891891894,75.0,24.27027027027027,22.743243243243242,0,0,0,2.1621621621621614,0,0,0,5.216216216216216,0,6.743243243243244,3.6891891891891895,0,6.743243243243244,1
1,8,237.92364864864862,237.92364864864862,2999.9074324324324,290.9396959459459,42.75,160.84459459459458,5342.774324324326,90.0,23.27027027027027,21.743243243243242,0,0,0,1.1621621621621614,0,0,0,4.216216216216216,0,5.743243243243244,2.6891891891891895,0,5.743243243243244,1
1,9,252.17364864864865,252.17364864864865,3069.5013513513513,308.9084459459459,180.5,178.09459459459458,5395.075675675677,100,22.27027027027027,20.743243243243242,0,0,0,0.1621621621621614,0,0,0,3.216216216216216,0,4.743243243243244,1.6891891891891895,0,4.743243243243244,1
1,10,256.3716216216216,256.3716216216216,3125.422972972973,312.6841216216216,180.5,177.63513513513516,5436.68310810811,100,21.27027027027027,19.743243243243242,0,0,0,0,0,0,0,2.216216216216216,0,3.743243243243244,0.6891891891891895,0,3.743243243243244,1
1,11,260.8263513513514,260.8263513513514,3177.082432432432,316.67221283783783,180.5,177.05743243243242,5478.572972972976,100,20.27027027027027,18.743243243243242,0,0,0,0,0,0,0,1.2162162162162158,0,2.743243243243244,0,0,2.743243243243244,1
1,12,265.3195945945946,265.3195945945946,3219.8324324324326,320.63420608108106,180.5,176.30743243243242,5521.014864864867,100,19.27027027027027,17.743243243243242,0,0,0,0,0,0,0,0.21621621621621578,0,1.7432432432432439,0,0,1.7432432432432439,1
1,13,269.325,269.325,3254.391891891892,324.03488175675676,180.5,175.3614864864865,5564.162837837841,100,18.27027027027027,16.743243243243242,0,0,0,0,0,0,0,0,0,0.7432432432432439,0,0,0.7432432432432439,1
1,14,272.63716216216216,272.63716216216216,3279.618243243243,326.673902027027,180.5,174.233108108108,5607.362162162166,100,17.27027027027027,15.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,15,274.5371621621622,274.5371621621622,3284.368243243243,327.76140202702703,180.5,172.733108108108,5651.049324324328,100,16.27027027027027,14.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16,276.43716216216217,276.43716216216217,3289.118243243243,328.848902027027,180.5,171.233108108108,5696.63648648649,100,15.27027027027027,13.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,17,278.33716216216214,278.33716216216214,3293.868243243243,329.936402027027,180.5,169.733108108108,5743.147972972977,100,14.27027027027027,12.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,18,280.2371621621622,280.2371621621622,3298.618243243243,331.023902027027,180.5,168.23310810810804,5786.4114864864905,100,13.27027027027027,11.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,19,282.13716216216216,282.13716216216216,3303.368243243243,332.111402027027,180.5,166.73310810810804,5829.1614864864905,100,12.27027027027027,10.743243243243242,0,0,0,0,0,0,0,0,0,0,0,0,0,1
